transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,payment_method,status,transaction_timestamp,city
T0025001,C02676,P023,Yoga Mat,Sports,1,890,890,UPI,SUCCESS,2026-08-22 13:19:03,Ahmedabad
T0025002,C00061,P015,Tea,Grocery,3,403,1209,WALLET,SUCCESS,2026-08-22 19:22:32,Bangalore
T0025003,C01816,P022,Football,Sports,1,1717,1717,WALLET,PENDING,2026-08-22 14:27:36,Delhi
T0025004,C02032,P008,Jacket,Fashion,4,3631,14524,UPI,SUCCESS,2026-08-22 16:56:45,Delhi
T0025005,C00128,P020,Cookware,Home,4,2896,11584,CARD,SUCCESS,2026-08-22 08:30:50,Mumbai
T0025006,C03150,P015,Tea,Grocery,3,423,1269,CARD,SUCCESS,2026-08-22 02:23:20,Delhi
T0025007,C00705,P003,Headphones,Electronics,1,2234,2234,NETBANKING,SUCCESS,2026-08-22 05:36:32,Ahmedabad
T0025008,C04896,P020,Cookware,Home,5,3312,16560,UPI,SUCCESS,2026-08-22 07:00:57,Chennai
T0025009,C03046,P013,Dry Fruits,Grocery,5,1264,6320,COD,SUCCESS,2026-08-22 14:15:30,Pune
T0025010,C02351,P004,Television,Electronics,4,28796,115184,WALLET,FAILED,2026-08-22 16:58:13,Ahmedabad
T0025011,C03368,P024,Dumbbells,Sports,1,4858,4858,CARD,SUCCESS,2026-08-22 08:55:23,Chennai
T0025012,C02963,P024,Dumbbells,Sports,5,4939,24695,COD,SUCCESS,2026-08-22 20:46:59,Hyderabad
T0025013,C01754,P008,Jacket,Fashion,5,3513,17565,NETBANKING,SUCCESS,2026-08-22 07:26:11,Jaipur
T0025014,C02275,P001,Laptop,Electronics,5,45823,229115,CARD,SUCCESS,2026-08-22 21:58:12,Pune
T0025015,C03938,P017,Table,Home,4,7347,29388,CARD,SUCCESS,2026-08-22 17:22:32,Ahmedabad
T0025016,C00069,P022,Football,Sports,4,1718,6872,COD,FAILED,2026-08-22 09:39:31,Noida
T0025017,C01509,P005,Smartwatch,Electronics,1,7776,7776,UPI,SUCCESS,2026-08-22 03:46:18,Noida
T0025018,C02702,P006,Shoes,Fashion,4,2233,8932,CARD,SUCCESS,2026-08-22 17:25:28,Hyderabad
T0025019,C02428,P013,Dry Fruits,Grocery,5,1190,5950,UPI,SUCCESS,2026-08-22 15:46:30,Jaipur
T0025020,C00115,P025,Running Shoes,Sports,3,3433,10299,UPI,SUCCESS,2026-08-22 20:44:19,Chennai
T0025021,C03225,P004,Television,Electronics,4,27213,108852,UPI,SUCCESS,2026-08-22 06:51:50,Pune
T0025022,C04853,P013,Dry Fruits,Grocery,4,1330,5320,CARD,SUCCESS,2026-08-22 17:51:46,Chennai
T0025023,C01016,P011,Rice Bag,Grocery,1,1289,1289,UPI,FAILED,2026-08-22 23:46:31,Ahmedabad
T0025024,C04062,P015,Tea,Grocery,3,417,1251,COD,PENDING,2026-08-22 03:08:54,Chennai
T0025025,C03285,P010,Backpack,Fashion,1,1717,1717,CARD,SUCCESS,2026-08-22 22:49:59,Bangalore
T0025026,C04530,P016,Chair,Home,2,3337,6674,UPI,SUCCESS,2026-08-22 08:54:01,Jaipur
T0025027,C03701,P006,Shoes,Fashion,4,2831,11324,COD,SUCCESS,2026-08-22 07:24:19,Jaipur
T0025028,C02053,P010,Backpack,Fashion,5,1363,6815,CARD,SUCCESS,2026-08-22 14:25:51,Ahmedabad
T0025029,C02100,P022,Football,Sports,3,1423,4269,COD,SUCCESS,2026-08-22 06:49:36,Bangalore
T0025030,C00661,P017,Table,Home,1,6941,6941,NETBANKING,FAILED,2026-08-22 00:29:09,Mumbai
T0025031,C02969,P023,Yoga Mat,Sports,3,991,2973,UPI,SUCCESS,2026-08-22 13:08:42,Hyderabad
T0025032,C01535,P020,Cookware,Home,1,3098,3098,COD,FAILED,2026-08-22 02:11:39,Mumbai
T0025033,C03943,P005,Smartwatch,Electronics,5,7238,36190,CARD,SUCCESS,2026-08-22 07:57:51,Jaipur
T0025034,C01317,P003,Headphones,Electronics,2,2728,5456,COD,FAILED,2026-08-22 09:19:40,Ahmedabad
T0025035,C04073,P008,Jacket,Fashion,5,3237,16185,CARD,SUCCESS,2026-08-22 04:29:04,Hyderabad
T0025036,C04098,P011,Rice Bag,Grocery,4,1037,4148,UPI,SUCCESS,2026-08-22 14:55:12,Kolkata
T0025037,C03078,P015,Tea,Grocery,1,448,448,COD,PENDING,2026-08-22 16:38:10,Pune
T0025038,C00366,P009,T-Shirt,Fashion,2,930,1860,WALLET,SUCCESS,2026-08-22 04:33:41,Pune
T0025039,C03246,P010,Backpack,Fashion,3,1426,4278,WALLET,SUCCESS,2026-08-22 11:58:23,Ahmedabad
T0025040,C00328,P009,T-Shirt,Fashion,2,853,1706,WALLET,SUCCESS,2026-08-22 12:23:10,Bangalore
T0025041,C00187,P006,Shoes,Fashion,4,2437,9748,NETBANKING,SUCCESS,2026-08-22 02:33:47,Jaipur
T0025042,C00194,P001,Laptop,Electronics,3,47143,141429,COD,SUCCESS,2026-08-22 18:13:57,Chennai
T0025043,C00209,P011,Rice Bag,Grocery,5,1435,7175,UPI,SUCCESS,2026-08-22 11:32:35,Delhi
T0025044,C00090,P004,Television,Electronics,2,31290,62580,COD,SUCCESS,2026-08-22 18:53:18,Ahmedabad
T0025045,C01808,P021,Cricket Bat,Sports,2,4478,8956,NETBANKING,PENDING,2026-08-22 03:57:15,Pune
T0025046,C00030,P024,Dumbbells,Sports,3,4404,13212,WALLET,SUCCESS,2026-08-22 15:42:52,Noida
T0025047,C03261,P010,Backpack,Fashion,4,1515,6060,NETBANKING,SUCCESS,2026-08-22 01:28:36,Ahmedabad
T0025048,C04549,P012,Cooking Oil,Grocery,4,760,3040,CARD,SUCCESS,2026-08-22 19:36:14,Hyderabad
T0025049,C02351,P007,Jeans,Fashion,5,1747,8735,WALLET,PENDING,2026-08-22 13:04:48,Delhi
T0025050,C02491,P022,Football,Sports,5,1583,7915,UPI,SUCCESS,2026-08-22 13:05:32,Delhi
T0025051,C00781,P002,Mobile,Electronics,5,26329,131645,COD,SUCCESS,2026-08-22 06:28:05,Noida
T0025052,C03653,P019,Bedsheet,Home,2,1615,3230,COD,SUCCESS,2026-08-22 21:45:21,Mumbai
T0025053,C04543,P013,Dry Fruits,Grocery,1,1326,1326,UPI,FAILED,2026-08-22 09:22:48,Bangalore
T0025054,C02001,P007,Jeans,Fashion,3,1697,5091,UPI,SUCCESS,2026-08-22 10:18:47,Pune
T0025055,C04769,P019,Bedsheet,Home,1,1626,1626,COD,SUCCESS,2026-08-22 04:55:55,Chennai
T0025056,C01817,P022,Football,Sports,2,1342,2684,UPI,SUCCESS,2026-08-22 10:04:51,Noida
T0025057,C03920,P017,Table,Home,5,6181,30905,CARD,FAILED,2026-08-22 03:42:20,Chennai
T0025058,C01949,P025,Running Shoes,Sports,2,3176,6352,WALLET,SUCCESS,2026-08-22 23:14:39,Chennai
T0025059,C01295,P018,Lamp,Home,5,1285,6425,COD,SUCCESS,2026-08-22 18:27:41,Pune
T0025060,C04176,P015,Tea,Grocery,1,473,473,COD,SUCCESS,2026-08-22 16:02:00,Jaipur
T0025061,C00598,P003,Headphones,Electronics,2,2690,5380,NETBANKING,SUCCESS,2026-08-22 13:03:21,Hyderabad
T0025062,C02780,P020,Cookware,Home,3,2845,8535,WALLET,SUCCESS,2026-08-22 23:30:44,Pune
T0025063,C01148,P025,Running Shoes,Sports,1,3881,3881,COD,SUCCESS,2026-08-22 23:01:39,Mumbai
T0025064,C01920,P003,Headphones,Electronics,4,2784,11136,NETBANKING,SUCCESS,2026-08-22 03:41:27,Hyderabad
T0025065,C02771,P011,Rice Bag,Grocery,1,1242,1242,COD,SUCCESS,2026-08-22 13:18:09,Bangalore
T0025066,C03553,P018,Lamp,Home,5,1263,6315,UPI,SUCCESS,2026-08-22 08:57:53,Pune
T0025067,C04904,P023,Yoga Mat,Sports,3,1036,3108,CARD,SUCCESS,2026-08-22 19:47:53,Delhi
T0025068,C03461,P015,Tea,Grocery,5,512,2560,NETBANKING,PENDING,2026-08-22 06:16:58,Chennai
T0025069,C01437,P007,Jeans,Fashion,2,1583,3166,NETBANKING,SUCCESS,2026-08-22 05:43:50,Bangalore
T0025070,C03496,P018,Lamp,Home,1,1266,1266,NETBANKING,PENDING,2026-08-22 03:56:47,Delhi
T0025071,C04660,P024,Dumbbells,Sports,2,4981,9962,COD,SUCCESS,2026-08-22 11:10:29,Chennai
T0025072,C02346,P023,Yoga Mat,Sports,1,826,826,NETBANKING,SUCCESS,2026-08-22 19:45:37,Hyderabad
T0025073,C04189,P002,Mobile,Electronics,3,25170,75510,NETBANKING,SUCCESS,2026-08-22 17:25:20,Hyderabad
T0025074,C03692,P011,Rice Bag,Grocery,1,1071,1071,WALLET,PENDING,2026-08-22 19:28:09,Jaipur
T0025075,C01008,P008,Jacket,Fashion,1,2754,2754,NETBANKING,SUCCESS,2026-08-22 11:49:49,Hyderabad
T0025076,C04182,P003,Headphones,Electronics,5,2578,12890,NETBANKING,SUCCESS,2026-08-22 22:13:03,Mumbai
T0025077,C03970,P018,Lamp,Home,2,1021,2042,COD,SUCCESS,2026-08-22 02:57:36,Kolkata
T0025078,C01053,P017,Table,Home,2,7980,15960,CARD,SUCCESS,2026-08-22 20:50:32,Jaipur
T0025079,C01116,P001,Laptop,Electronics,4,48080,192320,WALLET,SUCCESS,2026-08-22 19:23:50,Noida
T0025080,C00285,P001,Laptop,Electronics,3,48722,146166,CARD,FAILED,2026-08-22 05:09:40,Chennai
T0025081,C02530,P018,Lamp,Home,3,1021,3063,CARD,FAILED,2026-08-22 22:16:31,Bangalore
T0025082,C00532,P011,Rice Bag,Grocery,4,1184,4736,NETBANKING,SUCCESS,2026-08-22 16:43:55,Bangalore
T0025083,C00880,P012,Cooking Oil,Grocery,1,821,821,WALLET,SUCCESS,2026-08-22 05:27:40,Pune
T0025084,C04582,P013,Dry Fruits,Grocery,5,1253,6265,UPI,SUCCESS,2026-08-22 01:11:26,Bangalore
T0025085,C03759,P014,Flour,Grocery,2,659,1318,COD,FAILED,2026-08-22 04:54:40,Jaipur
T0025086,C02567,P011,Rice Bag,Grocery,1,1296,1296,COD,SUCCESS,2026-08-22 14:16:56,Noida
T0025087,C03719,P004,Television,Electronics,2,34354,68708,CARD,SUCCESS,2026-08-22 21:35:52,Delhi
T0025088,C04509,P024,Dumbbells,Sports,5,5328,26640,WALLET,PENDING,2026-08-22 19:05:56,Mumbai
T0025089,C03520,P021,Cricket Bat,Sports,3,3671,11013,CARD,SUCCESS,2026-08-22 23:18:07,Pune
T0025090,C04578,P007,Jeans,Fashion,2,1935,3870,COD,FAILED,2026-08-22 13:34:11,Mumbai
T0025091,C01417,P019,Bedsheet,Home,3,1365,4095,NETBANKING,SUCCESS,2026-08-22 14:12:58,Delhi
T0025092,C02476,P021,Cricket Bat,Sports,2,4390,8780,COD,SUCCESS,2026-08-22 10:35:39,Pune
T0025093,C02836,P015,Tea,Grocery,3,473,1419,CARD,SUCCESS,2026-08-22 09:49:24,Kolkata
